,Regularization,Test_Precision,Test_Recall,Test_Score,Train_Precision,Train_Recall,Train_Score,Dropped_Columns,Hypothetical_Score
0,0.01,0.9199086194840707,0.7257383966244726,0.8106443938073473,0.9621015211081267,0.8045629897528631,0.8762689873515385,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8159776610711862
0,0.01,0.9172340168397287,0.7283024991885751,0.8113234535369329,0.9561785111681154,0.80138838657826,0.8719290833268728,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8233909480052872
0,0.01,0.9086911961991877,0.7308341447581954,0.8098022808556582,0.9630493379041004,0.7925015069318866,0.8694243569214601,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8174827338983175
0,0.01,0.9166260076673789,0.7181759169100941,0.8047010598853183,0.9591345710284568,0.8001145268233876,0.872347883192979,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.818700538834767
0,0.01,0.9084791232159655,0.7232392080493346,0.8048197668838787,0.9629146462863242,0.7899698613622664,0.8678626047747475,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8173517509913463
0,0.01,0.9079373083647975,0.7207075624797143,0.8028116717268434,0.951953078963173,0.8045589712678319,0.8720376588399107,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8162729819200407
0,0.01,0.9078522859332889,0.7257383966244725,0.8062348417627921,0.953952747146363,0.8026522001205546,0.8717376829434839,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8145578699206795
0,0.01,0.9112367443181117,0.7308666017526777,0.810850005260396,0.9567691730824894,0.7982117741611412,0.8702544329569744,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8194071178590352
0,0.01,0.9084329582269082,0.7308016877637131,0.8095728015850897,0.9573018330072529,0.7956700823789431,0.8689540498946036,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8164612647250925
0,0.01,0.9167014472841816,0.7282700421940929,0.8111643695434596,0.9611063370177385,0.7963150492264417,0.8709134583505099,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8136200129453129
